"Google sites","http://sites.google.com/","4.3.2.0","4.3.2.255","67305984","67306239"
"meerfarbig GmbH & Co. KG","https://meerfarbig.io/","5.1.64.0","5.1.95.255","83968000","83976191"
"Hetzner Online GmbH","https://www.hetzner.de/","5.9.0.0","5.9.255.255","84475904","84541439"
"SoftLayer Technologies. Inc.","http://www.softlayer.com/","5.10.64.0","5.10.127.255","84557824","84574207"
"ITL Group","https://itldc.com/","5.34.182.0","5.34.183.255","86160896","86161407"
"webexxpurts.com","http://webexxpurts.com/","5.34.240.0","5.34.244.255","86175744","86177023"
"webexxpurts.com","http://webexxpurts.com/","5.34.247.0","5.34.247.255","86177536","86177791"
"Host Europe","https://www.hosteurope.de/","5.35.224.0","5.35.224.255","86237184","86237439"
"Host Europe","https://www.hosteurope.de/","5.35.225.0","5.35.225.255","86237440","86237695"
"Host Europe","https://www.hosteurope.de/","5.35.226.0","5.35.226.255","86237696","86237951"
"Host Europe","https://www.hosteurope.de/","5.35.228.0","5.35.228.255","86238208","86238463"
"Host Europe","https://www.hosteurope.de/","5.35.230.0","5.35.230.255","86238720","86238975"
"Host Europe","https://www.hosteurope.de/","5.35.232.0","5.35.235.255","86239232","86240255"
"Host Europe","https://www.hosteurope.de/","5.35.240.0","5.35.247.255","86241280","86243327"
"Host Europe","https://www.hosteurope.de/","5.35.248.0","5.35.255.255","86243328","86245375"
"OVH","http://www.ovh.com/","5.39.0.0","5.39.127.255","86441984","86474751"
"HostKey","http://hostkey.com/","5.39.216.0","5.39.223.255","86497280","86499327"
"PEER 1","http://www.peer1.com/","5.44.16.0","5.44.31.255","86773760","86777855"
"PEER 1","http://www.peer1.com/","5.44.26.144","5.44.26.159","86776464","86776479"
"3NT Solutions LLP","http://3nt.com/","5.45.64.0","5.45.71.255","86851584","86853631"
"3NT Solutions LLP","http://3nt.com/","5.45.72.0","5.45.75.255","86853632","86854655"
"3NT Solutions LLP","http://3nt.com/","5.45.76.0","5.45.79.255","86854656","86855679"
"Hosting Services Inc.","https://www.100tb.com/","5.63.144.0","5.63.151.255","88051712","88053759"
"eukhost.com","http://eukhost.com/","5.77.32.0","5.77.63.255","88940544","88948735"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.0.0","5.79.7.255","89063424","89065471"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.0.0","5.79.63.255","89063424","89079807"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.16.0","5.79.24.255","89067520","89069823"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.26.0","5.79.28.255","89070080","89070847"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.36.0","5.79.37.255","89072640","89073151"
"Rackspace US, Inc.","https://www.rackspace.com/","5.79.39.4","5.79.39.5","89073412","89073413"
"LeaseWeb","https://www.leaseweb.com/","5.79.64.0","5.79.123.255","89079808","89095167"
"LeaseWeb","https://www.leaseweb.com/","5.79.64.0","5.79.127.255","89079808","89096191"
"Confluence Networks Inc","http://confluence-networks.com/","5.100.152.0","5.100.159.255","90478592","90480639"
"Confluence Networks Inc","http://confluence-networks.com/","5.100.152.0","5.100.153.255","90478592","90479103"
"Amsio B.V.","https://www.amsio.com/","5.100.228.0","5.100.228.255","90498048","90498303"
"Amsio B.V.","https://www.amsio.com/","5.100.229.0","5.100.229.127","90498304","90498431"
"Amsio B.V.","https://www.amsio.com/","5.100.231.0","5.100.231.255","90498816","90499071"
"myLoc","https://www.myloc.de/","5.104.106.0","5.104.106.255","90728960","90729215"
"myLoc","https://www.myloc.de/","5.104.108.0","5.104.108.255","90729472","90729727"
"myLoc","https://www.myloc.de/","5.104.109.160","5.104.109.191","90729888","90729919"
"NFOrce Entertainment B.V.","https://www.nforce.com/","5.104.136.0","5.104.136.255","90736640","90736895"
"NFOrce Entertainment B.V.","https://www.nforce.com/","5.104.137.0","5.104.137.255","90736896","90737151"
"e24cloud.com","http://www.e24cloud.com/","5.104.208.0","5.104.215.255","90755072","90757119"
"iomart Hosting Ltd","http://www.rapidswitch.com/","5.133.179.0","5.133.179.255","92648192","92648447"
"iomart Hosting Ltd","http://www.rapidswitch.com/","5.133.183.0","5.133.183.255","92649216","92649471"
"OVH","http://www.ovh.com/","5.135.0.0","5.135.255.255","92733440","92798975"
"seeweb.it","http://seeweb.it/","5.144.163.120","5.144.166.255","93365112","93366015"
"e24cloud.com","http://www.e24cloud.com/","5.149.160.0","5.149.167.255","93691904","93693951"
"Redstation Limited","http://redstation.com/","5.152.192.0","5.152.223.255","93896704","93904895"
